PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40526967,Wolf isotopic response: immunotherapy-related lichenoid eruption localizing to prior radiation site.,2024,Drew Kuraitis,,
40487586,Impact of neurotoxicity and steroid therapy on cancer progression-free survival in lymphoma patients treated with anti-CD19 CAR T cells.,2025,"Lorenzo Muccioli, Federica Pondrelli, Gian Maria Asioli, Gianmarco Bagnato, Pier Luigi Zinzani, Francesca Bonifazi, Maria Guarino","IRCCS Istituto delle Scienze Neurologiche di Bologna, IRCCS Istituto delle Scienze Neurologiche di Bologna, IRCCS Istituto delle Scienze Neurologiche di Bologna, Dipartimento di Scienze Mediche e Chirurgiche, IRCCS Azienda Ospedaliero-Universitaria di Bologna, IRCCS Azienda Ospedaliero-Universitaria di Bologna, IRCCS Istituto delle Scienze Neurologiche di Bologna",
40287216,Circulating tumor cells in lung cancer: Integrating stemness and heterogeneity to improve clinical utility.,2025,"Teresa Beninato, Giuseppe Lo Russo, Rita Leporati, Luca Roz, Giulia Bertolini","Italy., Italy., Italy., Italy.",giulia.bertolini@istitutotumori.mi.it
40207279,"Profiling the gut and oral microbiota of hormone receptor-positive, HER2-negative metastatic breast cancer patients receiving pembrolizumab and eribulin.",2025,"Andrea Malfettone, José Manuel Pérez-García, Antonio Llombart-Cussac, Mario Mancino, Eileen Shimizu, Jose Rodríguez-Morató, Leonardo Mina, Javier Cortés","Spain., Spain., Spain., Spain., Spain., Spain., Spain., Spain.",
40189984,Real-world outcomes in molecular subgroups for patients with advanced or recurrent endometrial cancer treated with platinum-based chemotherapy.,2025,"Barbara Mascialino, Dirk Schneider, Hege Edvardsen","GlaxoSmithKline, GlaxoSmithKline, GlaxoSmithKline",klinde@ous-hf.no
40144784,Immunotherapy as a new perspective for the therapy of esophageal cancer.,2025,Anica Högner,Vivantes Klinikum im Friedrichshain,
40144471,Neratinib Alone or in Combination with Immune Checkpoint Inhibitors with or without Mammalian Target of Rapamycin Inhibitors in Patients with Fibrolamellar Carcinoma.,2025,"Daniel DiPrimeo, Lisa D Eli, John D Gordan","Biometrics, Los Angeles, San Francisco",
40131263,Entering a new era of tumor-infiltrating lymphocyte cell therapy innovation.,2025,"Giridharan Ramsingh, Rachel A Burga, Madan H Jagasia","Obsidian Therapeutics, Obsidian Therapeutics, Obsidian Therapeutics",rburga@obsidiantx.com
40125773,Intravitreal Methotrexate and CAR-T Therapy for Anterior Segment B-Cell Acute Lymphoblastic Leukemia Relapse.,2025,"Chathuranka De Silva, Alan Connor, Wing Roberts",,
40074512,Bispecific antibody therapy for lymphoma.,2024,"Genevieve M Gerhard, Gottfried von Keudell","330 Brookline Ave, 330 Brookline Ave",ggerhard@bidmc.harvard.edu
40072471,Survey of the impact of BOLT-trial data on oncologists' and dermatologists' decision-making in treating patients with locally advanced basal cell carcinoma.,2025,"Luigi Scarpato, Marco Palla, Sabino Strippoli, Luca Fania, Paolo Antonio Ascierto","Naples. m.palla@istitutotumori.na.it., Istituto Tumori IRCCS ""Giovanni Paolo II"", Naples. p.ascierto@istitutotumori.na.it.",dott.luigiscarpato@libero.it
